component,value
TOTAL,1662.160
Catch,   0.000
Survey, -58.411
Length_comp, 117.421
Age_comp, 262.739
SizeFreq,1351.990
Recruitment, -11.608
Parm_priors,   0.032
Parm_softbounds,   0.004
