Sex,Age,M,Len,Wt,Mat
1,0,0.968767,30,0.357011,0.00135852
1,1,0.506132,80.8638,6.87944,0.0060598
1,2,0.390329,114.442,20.2308,0.026597
1,3,0.32908,141.926,39.3796,0.109097
1,4,0.291721,164.422,62.0429,0.354344
1,5,0.266955,182.835,86.0978,0.71095
1,6,0.249627,197.906,109.932,0.916827
1,7,0.237041,210.242,132.471,0.98016
1,8,0.227651,220.339,153.092,0.995504
1,9,0.220504,228.603,171.502,0.998993
1,10,0.214981,235.367,187.641,0.999775
1,11,0.210663,240.904,201.591,0.99995
1,12,0.207256,245.436,213.515,0.999989
1,13,0.204549,249.145,223.621,0.999998
1,14,0.202385,252.181,232.125,0.999999
1,15,0.200648,254.666,239.242,1
1,16,0.199248,256.7,245.187,1
1,17,0.198117,258.365,250.19,1
1,18,0.197201,259.728,254.33,1
1,19,0.195731,261.94,261.133,1
2,0,0.892515,30,0.385947,0
2,1,0.471436,86.1146,8.27743,0
2,2,0.371563,121.585,23.1824,0
2,3,0.323863,146.474,40.2865,0
2,4,0.2972,163.936,56.2697,0
2,5,0.281003,176.189,69.6965,0
2,6,0.270666,184.786,80.2971,0
2,7,0.263861,190.818,88.3483,0
2,8,0.259289,195.051,94.3107,0
2,9,0.256175,198.02,98.6526,0
2,10,0.254036,200.104,101.779,0
2,11,0.252556,201.566,104.011,0
2,12,0.251528,202.592,105.598,0
2,13,0.250811,203.312,106.72,0
2,14,0.250311,203.817,107.513,0
2,15,0.249962,204.171,108.072,0
2,16,0.249717,204.42,108.466,0
2,17,0.249545,204.594,108.75,0
2,18,0.249425,204.717,108.949,0
2,19,0.249298,204.846,109.161,0
