Year,Rec,Catch,TB,SB,F,SB_SBmsy,SB_SBF0,F_Fmsy
1952,1706.86,19.7525,185284,84735.4,0.000138398,4.45598203627453,1,0.000702649188184763
1953,1707.01,52.3855,185902,84850.1,0.000358544,4.46201376728141,0.999918686731796,0.00182033447397013
1954,1706.98,341.642,185850,84829.7,0.00225368,4.46094099210669,0.999677104214026,0.0114419747570647
1955,1706.81,498.73,185511,84690.5,0.00329761,4.45362087914977,0.998036699345134,0.016742026542652
1956,1706.53,400.343,185051,84474.6,0.00264591,4.44226734188398,0.99549242196587,0.0134333336718012
1957,1706.3,281.618,184731,84294.4,0.00191033,4.43279116117395,0.99336533997035,0.00969878050018785
1958,1706.17,547.97,184563,84187.7,0.00365347,4.42718012631402,0.992100921539513,0.0185487342993207
1959,1705.91,626.739,184156,83983.3,0.0042248,4.41643133975947,0.989682861412134,0.0214493872038829
1960,1705.61,441.2,183718,83753.4,0.00292922,4.40434158423652,0.986964350527224,0.0148717037458242
1961,1705.42,733.946,183518,83607.4,0.00493038,4.39666387955469,0.9852357344954,0.0250316298244367
1962,1705.11,730.072,183061,83367,0.00470817,4.38402196033887,0.982395897286029,0.0239034655727384
1963,1704.81,992.946,182658,83136.5,0.0066543,4.3719006526049,0.979671606474542,0.0337840033305241
1964,1704.42,527.708,182037,82837.7,0.00350094,4.35618765151635,0.976145978176333,0.0177743366875501
1965,1704.28,1245.96,181947,82727.6,0.00827266,4.35039782079396,0.97484283399617,0.0420004467776164
1966,1703.79,1446.72,181168,82355.8,0.00965861,4.3308459673645,0.970457054849646,0.0490369403856503
1967,1703.19,1222.96,180274,81907.2,0.00805885,4.30725543092432,0.965167469527427,0.0409149294802149
1968,1702.71,1768.25,179712,81553.8,0.0116202,4.28867117863284,0.960999723084718,0.0589959688474153
1969,1691.09,1550.59,178681,81002.6,0.00977855,4.25968521410805,0.954502337277305,0.0496458779687865
1970,1687.94,1341.31,177978,80532.1,0.00871732,4.2349430219656,0.948957034683811,0.0442579937654214
1971,1684.41,2573.66,177514,80245.6,0.0157502,4.21987684120298,0.945589950861978,0.0799640547099499
1972,1679.27,2526.13,175921,79382.7,0.0157338,4.17449950305268,0.935483528837791,0.079880791608704
1973,1673.58,1768.96,174493,78603.4,0.0120977,4.13351843963799,0.926541192168826,0.0614202451184468
