Year,Rec,Catch,TB,SB,F,SB_SBmsy,SB_SBF0,F_Fmsy
1974,1667.54,2268.73,173857,78297.1,0.0153865,4.11741103591168,0.923474942000559,0.078117543129271
1975,1660.8,1451.15,172756,77785.7,0.00990361,4.09051803471795,0.918237085654925,0.0502808098859702
1976,1652.75,2401.63,172512,77645.1,0.0164161,4.08312429993532,0.917561931953142,0.0833448412416356
1977,1642.58,861.352,171294,77119,0.00607666,4.05545826957157,0.912510501342989,0.0308513144400556
1978,1631.83,1005.42,171610,77244.8,0.0071537,4.06207371648235,0.91537675770094,0.0363194663038291
1979,1622.98,1953.24,171657,77341.3,0.0136777,4.06714836375492,0.918141477359064,0.0694419341409177
1980,1613.34,2222.82,170654,77020,0.0155102,4.05025215475308,0.916224138259198,0.0787455703014733
1981,1610.31,2906.8,169333,76529.2,0.0201341,4.02444244613775,0.912614435748434,0.102221195536285
1982,1615.37,2702.49,167393,75660.7,0.0192124,3.97877062068458,0.904855871403064,0.0975417077058985
1983,1597.3,1726.83,165791,74861.1,0.0124394,3.93672204079701,0.898252716556597,0.0631550622950154
1984,1746.09,1976.22,165320,74488.9,0.0141031,3.9171491525602,0.897043770216599,0.0716016977549425
1985,1581.38,2329.03,165136,74061.4,0.017169,3.8946682022076,0.89525389021924,0.087167328371394
1986,1492.75,2421.83,164501,73603.3,0.0176872,3.87057808909293,0.892847351783067,0.0897982392900298
1987,1624.35,2392.92,163357,73126.8,0.017613,3.84552037484027,0.889521962897052,0.0894215245270757
1988,1758.7,3402.3,162365,72806.3,0.0255726,3.82866623545312,0.886612337945429,0.129832559934202
1989,1893.75,2652.87,161156,72175.6,0.0199517,3.79549960296801,0.879141706598715,0.101295147385843
1990,2835.08,2342.93,162336,71634.7,0.0173446,3.76705528473241,0.875028094828597,0.0880588527969294
1991,1618.03,2101.88,167839,71211.3,0.0148704,3.74478994115513,0.873005248233732,0.0754972939492095
1992,2077.4,2773.24,173026,71391.4,0.0184472,3.75426086316332,0.873478416733654,0.0936567732502056
1993,1880.63,2140.09,177114,72258.8,0.0143996,3.79987484289628,0.872479023811852,0.0731070337012479
1994,2050.05,3023.35,180840,74706.8,0.0200383,3.92860786386273,0.876357967269191,0.101734817176569
1995,1315.98,2172.33,182990,77399.4,0.0141595,4.07020366952214,0.876462055353424,0.0718880415909345
1996,959.619,3251.76,182924,79405.5,0.021273,4.17569848707148,0.878690465651558,0.108003411756344
1997,1629.62,4599.55,177945,80329.1,0.0309993,4.22426785723676,0.875600735543379,0.157384015515368
1998,1926.97,5593.07,171304,80074.2,0.0399129,4.21086342625459,0.864949819987102,0.202638526446189
1999,770.828,6018.21,165288,78280,0.044372,4.11651179789757,0.848108602971847,0.225277459053847
2000,1132.03,6415.99,156963,74735.2,0.0504654,3.9301013351844,0.828006452527831,0.256213762781394
2001,2010.37,7184.02,147704,70568.2,0.061563,3.71097122964225,0.80613717133108,0.312556481829351
2002,1118.47,7560.58,140686,66820.8,0.0675149,3.51390663700759,0.780243107857218,0.342774387457734
2003,1455.11,7565.07,133836,63061.7,0.0698065,3.31622677625801,0.752444543611613,0.354408882751338
2004,1693.14,8110.35,128062,58653.2,0.080793,3.08439690577984,0.723442832632954,0.410187545058538
2005,1892.04,6515.13,123696,54957.7,0.0663338,2.89006157939851,0.69598777158083,0.336777921062518
2006,2468.78,8346.43,123696,52866.8,0.0845029,2.78010738269151,0.677847271906678,0.429022775504402
2007,1138.58,9041.95,125424,50423.7,0.0898133,2.65163203811507,0.654093818345972,0.455983773849294
2008,2456.61,7912.18,125251,48482.7,0.0769391,2.54956063546153,0.631332012922834,0.390621223967588
2009,2326.14,6924.95,128206,48420.5,0.0659881,2.546289722919,0.622342667948527,0.335022795812475
2010,2170.84,6205.05,133933,49855.6,0.0548043,2.62175735297984,0.622682065648422,0.27824243778114
2011,1558.23,8267.03,140641,51766.7,0.0696723,2.72225640378416,0.6267109439883,0.353727546886265
2012,1809,8746.22,142792,52992.1,0.0728749,2.7866965360931,0.625268876200725,0.369987205913711
2013,1501.49,8489.84,142606,54749.3,0.0708254,2.87910244477048,0.622981542442369,0.359581856767158
2014,576.469,8986.28,140272,56534.5,0.0766891,2.97298078996219,0.619493705840069,0.389351969375425
2015,1235.34,9033.92,132769,57042,0.0821805,2.99966870178428,0.610743091103957,0.417231908045043
2016,673.635,7094.82,123594,56033.8,0.0710511,2.94665046986501,0.596999754951576,0.360727739812963
2017,1096.56,6559.17,114674,54631.7,0.0707639,2.87291821141033,0.58759432622893,0.359269620137486
2018,1127.44,7056.11,106705,52053,0.0850309,2.73731206714311,0.576904534175052,0.43170344120305
2019,2223.19,5681.18,99967.3,48143.7,0.0711678,2.53173363623456,0.560882664069454,0.361320227856584
2020,1366.3,4765.98,99743.5,44720.1,0.0593897,2.35169672014766,0.550860903005831,0.301522597808759
2021,789.775,4917.97,101889,42060.2,0.0580342,2.2118205099889,0.547745865879736,0.29464069941005
2022,1598.49,5157.34,102070,40645.7,0.0623462,2.13743617250646,0.55177904782591,0.31653280261568
2023,1599.65,5929.95,102529,40887.6,0.0718588,2.15015697224983,0.562956680494726,0.364828447549323
