Fleet,Length,Sel
19,38.5,5.31364e-05
20,38.5,0.000119706
21,38.5,5.97589e-06
1,39.5,0.0212816
2,39.5,0.000148382
3,39.5,0.00378177
4,39.5,0.000124729
5,39.5,0.000148382
6,39.5,0.00378177
7,39.5,0.000148382
8,39.5,0.0212816
9,39.5,0.000148382
10,39.5,0.0212816
11,39.5,6.21875e-05
12,39.5,0.000200337
13,39.5,7.85443e-06
14,39.5,0.000200337
15,39.5,0.0212816
16,39.5,6.21875e-05
17,39.5,0.000200337
18,39.5,0.0212816
19,39.5,6.21875e-05
20,39.5,0.000148382
21,39.5,7.85443e-06
1,40.5,0.0228751
2,40.5,0.000183454
3,40.5,0.00401376
4,40.5,0.000150163
5,40.5,0.000183454
6,40.5,0.00401376
7,40.5,0.000183454
8,40.5,0.0228751
9,40.5,0.000183454
10,40.5,0.0228751
11,40.5,7.26882e-05
12,40.5,0.000209698
13,40.5,1.02913e-05
14,40.5,0.000209698
15,40.5,0.0228751
16,40.5,7.26882e-05
17,40.5,0.000209698
18,40.5,0.0228751
19,40.5,7.26882e-05
20,40.5,0.000183454
21,40.5,1.02913e-05
1,41.5,0.024571
2,41.5,0.000226231
3,41.5,0.00425992
4,41.5,0.000180433
5,41.5,0.000226231
6,41.5,0.00425992
7,41.5,0.000226231
8,41.5,0.024571
9,41.5,0.000226231
10,41.5,0.024571
11,41.5,8.48546e-05
12,41.5,0.000219495
13,41.5,1.34423e-05
14,41.5,0.000219495
15,41.5,0.024571
16,41.5,8.48546e-05
17,41.5,0.000219495
18,41.5,0.024571
19,41.5,8.48546e-05
20,41.5,0.000226231
21,41.5,1.34423e-05
1,42.5,0.0263747
2,42.5,0.000278261
3,42.5,0.0045211
4,42.5,0.000216386
5,42.5,0.000278261
6,42.5,0.0045211
7,42.5,0.000278261
8,42.5,0.0263747
9,42.5,0.000278261
10,42.5,0.0263747
11,42.5,9.89319e-05
12,42.5,0.00022975
13,42.5,1.7503e-05
14,42.5,0.00022975
15,42.5,0.0263747
16,42.5,9.89319e-05
17,42.5,0.00022975
18,42.5,0.0263747
