Sex,Yr,Age,F
1,1952,0,2.10000000000488e-05
1,1953,0,3.2000000000032e-05
1,1954,0,0.00017900000000004
1,1955,0,0.000167000000000028
1,1956,0,0.000141999999999975
1,1957,0,0.000241000000000047
1,1958,0,0.000280999999999976
1,1959,0,0.000211000000000072
1,1960,0,0.000186000000000019
1,1961,0,0.000388000000000055
1,1962,0,0.000326000000000048
1,1963,0,0.000543999999999989
1,1964,0,0.000207999999999986
1,1965,0,0.000458000000000069
1,1966,0,0.000485999999999986
1,1967,0,0.000492000000000048
1,1968,0,0.000404999999999989
1,1969,0,0.00029200000000007
1,1970,0,0.000395000000000034
1,1971,0,0.000523000000000051
1,1972,0,0.000431999999999988
1,1973,0,0.000385999999999997
1,1974,0,0.000631000000000048
1,1975,0,0.000690999999999997
1,1976,0,0.000940000000000052
1,1977,0,0.000469000000000053
1,1978,0,0.00055000000000005
1,1979,0,0.00100299999999998
1,1980,0,0.00107800000000002
1,1981,0,0.00128400000000006
1,1982,0,0.000902999999999987
1,1983,0,0.000638000000000027
1,1984,0,0.00096099999999999
1,1985,0,0.00122800000000001
1,1986,0,0.000892000000000004
1,1987,0,0.00101899999999999
1,1988,0,0.001772
1,1989,0,0.00119800000000003
1,1990,0,0.001309
1,1991,0,0.00090800000000002
1,1992,0,0.00120799999999999
1,1993,0,0.00108600000000003
1,1994,0,0.00162899999999999
1,1995,0,0.00129900000000005
1,1996,0,0.00145700000000004
1,1997,0,0.00170500000000007
1,1998,0,0.00293900000000002
1,1999,0,0.003305
1,2000,0,0.00310299999999997
1,2001,0,0.00398900000000002
1,2002,0,0.00633600000000001
1,2003,0,0.00476799999999999
1,2004,0,0.006548
1,2005,0,0.00414599999999998
1,2006,0,0.00578699999999999
1,2007,0,0.00456900000000005
1,2008,0,0.00609599999999999
1,2009,0,0.00682100000000008
1,2010,0,0.00474399999999997
1,2011,0,0.00714100000000006
1,2012,0,0.00654100000000002
1,2013,0,0.00724500000000006
1,2014,0,0.00842200000000004
1,2015,0,0.00932699999999997
1,2016,0,0.00903500000000002
1,2017,0,0.00956400000000002
1,2018,0,0.010491
1,2019,0,0.00810299999999997
1,2020,0,0.00509000000000004
1,2021,0,0.00503300000000007
1,2022,0,0.00633300000000003
2,1952,0,2.59999999999705e-05
2,1953,0,4.30000000000152e-05
2,1954,0,0.000248000000000026
2,1955,0,0.000211000000000072
2,1956,0,0.000190000000000023
2,1957,0,0.000307999999999975
2,1958,0,0.000367000000000006
2,1959,0,0.000273999999999996
2,1960,0,0.000245999999999968
2,1961,0,0.00048999999999999
2,1962,0,0.000429000000000013
2,1963,0,0.000705999999999984
2,1964,0,0.000271000000000021
2,1965,0,0.00062300000000004
2,1966,0,0.000649000000000011
2,1967,0,0.000642000000000031
2,1968,0,0.000578999999999996
2,1969,0,0.000400000000000067
2,1970,0,0.000562000000000062
2,1971,0,0.000739000000000045
2,1972,0,0.000622000000000011
2,1973,0,0.000546000000000046
2,1974,0,0.000906999999999991
2,1975,0,0.000886999999999971
2,1976,0,0.00125399999999998
2,1977,0,0.000580000000000025
2,1978,0,0.000707000000000013
2,1979,0,0.00128800000000007
2,1980,0,0.00139900000000004
2,1981,0,0.00164799999999998
2,1982,0,0.00120300000000007
2,1983,0,0.000827000000000022
2,1984,0,0.00125200000000003
2,1985,0,0.00157400000000008
2,1986,0,0.00114500000000006
2,1987,0,0.00131800000000004
2,1988,0,0.00220799999999999
2,1989,0,0.001525
2,1990,0,0.00168500000000005
2,1991,0,0.00115900000000002
2,1992,0,0.00152099999999999
2,1993,0,0.00134000000000001
2,1994,0,0.002
2,1995,0,0.00160800000000005
2,1996,0,0.00186500000000001
2,1997,0,0.00227699999999997
2,1998,0,0.00384400000000007
2,1999,0,0.00431700000000002
2,2000,0,0.00397599999999998
2,2001,0,0.00515200000000005
2,2002,0,0.00801399999999997
2,2003,0,0.00594899999999998
2,2004,0,0.00818399999999997
2,2005,0,0.00529100000000005
2,2006,0,0.00734600000000007
2,2007,0,0.00578000000000001
2,2008,0,0.00757600000000003
2,2009,0,0.00839699999999999
2,2010,0,0.00589300000000004
2,2011,0,0.00882000000000005
2,2012,0,0.00803799999999999
2,2013,0,0.00892000000000004
2,2014,0,0.01035
2,2015,0,0.011422
2,2016,0,0.011189
2,2017,0,0.01186
2,2018,0,0.0128900000000001
2,2019,0,0.010073
2,2020,0,0.00632699999999997
2,2021,0,0.006332
2,2022,0,0.00789300000000004
1,1952,1,8.5999999999975e-05
1,1953,1,0.000193999999999972
1,1954,1,0.00114799999999998
1,1955,1,0.00123400000000001
1,1956,1,0.000993000000000022
1,1957,1,0.00112299999999999
1,1958,1,0.00176399999999999
1,1959,1,0.00168299999999999
1,1960,1,0.00120199999999998
1,1961,1,0.00209999999999999
1,1962,1,0.00225799999999998
1,1963,1,0.003363
1,1964,1,0.00163000000000002
1,1965,1,0.004081
1,1966,1,0.00430199999999997
1,1967,1,0.00345099999999998
1,1968,1,0.005027
1,1969,1,0.00345899999999999
1,1970,1,0.00373299999999999
1,1971,1,0.00560699999999997
1,1972,1,0.00543199999999999
1,1973,1,0.00479400000000002
1,1974,1,0.00653399999999998
1,1975,1,0.00453799999999999
1,1976,1,0.00737399999999999
1,1977,1,0.00267299999999998
1,1978,1,0.00366899999999998
1,1979,1,0.00617099999999998
1,1980,1,0.00716699999999998
1,1981,1,0.00808900000000001
1,1982,1,0.00747399999999998
1,1983,1,0.00492199999999998
1,1984,1,0.00642900000000002
1,1985,1,0.00841500000000001
1,1986,1,0.00683600000000001
1,1987,1,0.00719399999999998
1,1988,1,0.011152
1,1989,1,0.00900000000000001
1,1990,1,0.008214
1,1991,1,0.00665399999999999
1,1992,1,0.00805600000000001
1,1993,1,0.00687100000000002
1,1994,1,0.00964500000000001
1,1995,1,0.007247
1,1996,1,0.010347
1,1997,1,0.014175
1,1998,1,0.019682
1,1999,1,0.022922
1,2000,1,0.024064
1,2001,1,0.029583
1,2002,1,0.035647
1,2003,1,0.030761
1,2004,1,0.038294
1,2005,1,0.027185
1,2006,1,0.03449
1,2007,1,0.030604
1,2008,1,0.032937
1,2009,1,0.033455
1,2010,1,0.025697
1,2011,1,0.035413
1,2012,1,0.034499
1,2013,1,0.035321
1,2014,1,0.04083
1,2015,1,0.044023
1,2016,1,0.040875
1,2017,1,0.043482
1,2018,1,0.049593
1,2019,1,0.039251
1,2020,1,0.026759
1,2021,1,0.026592
1,2022,1,0.030247
2,1952,1,9.9999999999989e-05
2,1953,1,0.000226999999999977
2,1954,1,0.00137199999999998
2,1955,1,0.00157600000000002
2,1956,1,0.00129000000000001
2,1957,1,0.001336
2,1958,1,0.002166
2,1959,1,0.00213600000000003
2,1960,1,0.00150499999999998
2,1961,1,0.00262899999999999
2,1962,1,0.00273099999999998
2,1963,1,0.00408700000000001
2,1964,1,0.002
2,1965,1,0.00497599999999998
2,1966,1,0.00533299999999998
2,1967,1,0.00428400000000001
