Metric,Value
Clatest,5929.95
Flatest,0.0623462
Fmsy,0.196966
Frecent,0.062734475
MSY,10551.6
SB0,84735.4
SBF0,86707.05
SBlatest,40887.6
SBmsy,19016.1
SBrecent,42078.4
TBlatest,102529
TBrecent,101557.875
Flatest_Fmsy,0.31653280261568
Frecent_Fmsy,0.318504081922768
SBlatest_SB0,0.482532684096611
SBlatest_SBF0,0.471560271050624
SBlatest_SBmsy,2.15015697224983
SBrecent_SB0,0.496585842516823
SBrecent_SBF0,0.485293871720927
SBrecent_SBmsy,2.21277759372321
