Area,Sex,Yr,Age,B
2,1,2013,0,217.919
2,1,2014,0,83.6658
2,1,2015,0,179.291
2,1,2016,0,97.7681
2,1,2017,0,159.149
2,1,2018,0,163.632
2,1,2019,0,322.663
2,1,2020,0,198.298
2,1,2021,0,114.624
2,1,2022,0,231.997
2,1,2023,0,232.165
2,2,1952,0,266.107
2,2,1953,0,266.13
2,2,1954,0,266.126
2,2,1955,0,266.098
2,2,1956,0,266.056
2,2,1957,0,266.02
2,2,1958,0,265.999
2,2,1959,0,265.958
2,2,1960,0,265.912
2,2,1961,0,265.883
2,2,1962,0,265.835
2,2,1963,0,265.788
2,2,1964,0,265.727
2,2,1965,0,265.704
2,2,1966,0,265.628
2,2,1967,0,265.534
2,2,1968,0,265.46
2,2,1969,0,263.648
2,2,1970,0,263.157
2,2,1971,0,262.607
2,2,1972,0,261.806
2,2,1973,0,260.919
2,2,1974,0,259.977
2,2,1975,0,258.926
2,2,1976,0,257.67
2,2,1977,0,256.085
2,2,1978,0,254.409
2,2,1979,0,253.029
2,2,1980,0,251.526
2,2,1981,0,251.055
2,2,1982,0,251.843
2,2,1983,0,249.025
2,2,1984,0,272.223
2,2,1985,0,246.544
2,2,1986,0,232.726
2,2,1987,0,253.243
2,2,1988,0,274.188
2,2,1989,0,295.244
2,2,1990,0,442.002
2,2,1991,0,252.257
2,2,1992,0,323.876
2,2,1993,0,293.198
2,2,1994,0,319.612
2,2,1995,0,205.167
2,2,1996,0,149.609
2,2,1997,0,254.065
2,2,1998,0,300.423
2,2,1999,0,120.175
2,2,2000,0,176.488
2,2,2001,0,313.426
2,2,2002,0,174.375
2,2,2003,0,226.858
2,2,2004,0,263.968
2,2,2005,0,294.978
2,2,2006,0,384.893
2,2,2007,0,177.509
2,2,2008,0,382.997
2,2,2009,0,362.655
2,2,2010,0,338.444
2,2,2011,0,242.935
2,2,2012,0,282.03
2,2,2013,0,234.089
2,2,2014,0,89.874
2,2,2015,0,192.595
2,2,2016,0,105.023
2,2,2017,0,170.958
2,2,2018,0,175.773
2,2,2019,0,346.605
2,2,2020,0,213.012
2,2,2021,0,123.129
2,2,2022,0,249.212
2,2,2023,0,249.392
1,1,1952,1,862.54
1,1,1953,1,870.09
1,1,1954,1,870.134
1,1,1955,1,869.774
1,1,1956,1,870.003
1,1,1957,1,869.848
1,1,1958,1,869.508
1,1,1959,1,869.374
1,1,1960,1,869.435
1,1,1961,1,869.286
1,1,1962,1,868.917
1,1,1963,1,868.774
1,1,1964,1,868.504
1,1,1965,1,868.61
1,1,1966,1,867.949
1,1,1967,1,867.737
1,1,1968,1,867.744
1,1,1969,1,867.112
1,1,1970,1,861.53
1,1,1971,1,859.617
1,1,1972,1,857.431
1,1,1973,1,855.202
1,1,1974,1,852.297
1,1,1975,1,848.809
1,1,1976,1,846.085
1,1,1977,1,841.359
1,1,1978,1,837
1,1,1979,1,831.286
1,1,1980,1,826.406
1,1,1981,1,820.968
1,1,1982,1,819.251
1,1,1983,1,822.087
1,1,1984,1,813.598
1,1,1985,1,888.692
1,1,1986,1,804.961
1,1,1987,1,760.262
1,1,1988,1,827.221
1,1,1989,1,895.48
1,1,1990,1,964.253
1,1,1991,1,1443.41
1,1,1992,1,824.289
1,1,1993,1,1058.29
1,1,1994,1,958.088
1,1,1995,1,1044.23
1,1,1996,1,670.475
1,1,1997,1,488.59
1,1,1998,1,828.717
1,1,1999,1,979.728
1,1,2000,1,391.649
1,1,2001,1,575.362
1,1,2002,1,1021.21
1,1,2003,1,568.15
1,1,2004,1,739.789
1,1,2005,1,860.769
1,1,2006,1,961.983
1,1,2007,1,1256.27
1,1,2008,1,579.433
1,1,2009,1,1249.61
1,1,2010,1,1182.96
1,1,2011,1,1103.82
1,1,2012,1,791.19
1,1,2013,1,919.51
1,1,2014,1,763.147
1,1,2015,1,293.198
1,1,2016,1,628.045
1,1,2017,1,342.527
1,1,2018,1,557.337
1,1,2019,1,572.85
1,1,2020,1,1130.44
1,1,2021,1,695.452
1,1,2022,1,401.953
1,1,2023,1,812.964
1,2,1952,1,1068.86
1,2,1953,1,1091.03
1,2,1954,1,1091.06
1,2,1955,1,1090.42
1,2,1956,1,1090.87
1,2,1957,1,1090.67
1,2,1958,1,1090.16
1,2,1959,1,1089.94
1,2,1960,1,1090.1
1,2,1961,1,1089.91
1,2,1962,1,1089.4
1,2,1963,1,1089.14
1,2,1964,1,1088.73
1,2,1965,1,1089.03
1,2,1966,1,1087.86
1,2,1967,1,1087.64
1,2,1968,1,1087.81
1,2,1969,1,1086.71
1,2,1970,1,1079.98
1,2,1971,1,1077.36
1,2,1972,1,1074.44
1,2,1973,1,1071.78
1,2,1974,1,1068.2
1,2,1975,1,1063.48
1,2,1976,1,1060.62
1,2,1977,1,1054.27
1,2,1978,1,1049.4
1,2,1979,1,1042.08
1,2,1980,1,1035.78
1,2,1981,1,1028.7
1,2,1982,1,1026.56
1,2,1983,1,1030.05
1,2,1984,1,1019.85
1,2,1985,1,1113.64
1,2,1986,1,1008.75
1,2,1987,1,952.928
1,2,1988,1,1036.77
1,2,1989,1,1122.35
1,2,1990,1,1208.47
1,2,1991,1,1808.86
1,2,1992,1,1033.24
