Fleet,Fleet_Name,Area,Yr,Seas,Catch
16,16.EU.2C,2,1962,3,0
16,16.EU.2C,2,1962,4,0
16,16.EU.2C,2,1963,1,0
16,16.EU.2C,2,1963,2,0
16,16.EU.2C,2,1963,3,0
16,16.EU.2C,2,1963,4,0
16,16.EU.2C,2,1964,1,0
16,16.EU.2C,2,1964,2,0
16,16.EU.2C,2,1964,3,0
16,16.EU.2C,2,1964,4,0
16,16.EU.2C,2,1965,1,0
16,16.EU.2C,2,1965,2,0
16,16.EU.2C,2,1965,3,0
16,16.EU.2C,2,1965,4,0
16,16.EU.2C,2,1966,1,0
16,16.EU.2C,2,1966,2,0
16,16.EU.2C,2,1966,3,0
16,16.EU.2C,2,1966,4,0
16,16.EU.2C,2,1967,1,0
16,16.EU.2C,2,1967,2,0
16,16.EU.2C,2,1967,3,0
16,16.EU.2C,2,1967,4,0
16,16.EU.2C,2,1968,1,0
16,16.EU.2C,2,1968,2,0
16,16.EU.2C,2,1968,3,0
16,16.EU.2C,2,1968,4,0
16,16.EU.2C,2,1969,1,0
16,16.EU.2C,2,1969,2,0
16,16.EU.2C,2,1969,3,0
16,16.EU.2C,2,1969,4,0
16,16.EU.2C,2,1970,1,0
16,16.EU.2C,2,1970,2,0
16,16.EU.2C,2,1970,3,0
16,16.EU.2C,2,1970,4,0
16,16.EU.2C,2,1971,1,0
16,16.EU.2C,2,1971,2,0
16,16.EU.2C,2,1971,3,0
16,16.EU.2C,2,1971,4,0
16,16.EU.2C,2,1972,1,0
16,16.EU.2C,2,1972,2,0
16,16.EU.2C,2,1972,3,0
16,16.EU.2C,2,1972,4,0
16,16.EU.2C,2,1973,1,0
16,16.EU.2C,2,1973,2,0
16,16.EU.2C,2,1973,3,0
16,16.EU.2C,2,1973,4,0
16,16.EU.2C,2,1974,1,0
16,16.EU.2C,2,1974,2,0
16,16.EU.2C,2,1974,3,0
16,16.EU.2C,2,1974,4,0
16,16.EU.2C,2,1975,1,0
16,16.EU.2C,2,1975,2,0
16,16.EU.2C,2,1975,3,0
16,16.EU.2C,2,1975,4,0
16,16.EU.2C,2,1976,1,0
16,16.EU.2C,2,1976,2,0
16,16.EU.2C,2,1976,3,0
16,16.EU.2C,2,1976,4,0
16,16.EU.2C,2,1977,1,0
16,16.EU.2C,2,1977,2,0
16,16.EU.2C,2,1977,3,0
16,16.EU.2C,2,1977,4,0
16,16.EU.2C,2,1978,1,0
16,16.EU.2C,2,1978,2,0
16,16.EU.2C,2,1978,3,0
16,16.EU.2C,2,1978,4,0
16,16.EU.2C,2,1979,1,0
16,16.EU.2C,2,1979,2,0
16,16.EU.2C,2,1979,3,0
16,16.EU.2C,2,1979,4,0
16,16.EU.2C,2,1980,1,0
16,16.EU.2C,2,1980,2,0
16,16.EU.2C,2,1980,3,0
16,16.EU.2C,2,1980,4,0
16,16.EU.2C,2,1981,1,0
16,16.EU.2C,2,1981,2,0
16,16.EU.2C,2,1981,3,0
16,16.EU.2C,2,1981,4,0
16,16.EU.2C,2,1982,1,0
16,16.EU.2C,2,1982,2,0
16,16.EU.2C,2,1982,3,0
16,16.EU.2C,2,1982,4,0
16,16.EU.2C,2,1983,1,0
16,16.EU.2C,2,1983,2,0
16,16.EU.2C,2,1983,3,0
16,16.EU.2C,2,1983,4,0
16,16.EU.2C,2,1984,1,0
16,16.EU.2C,2,1984,2,0
16,16.EU.2C,2,1984,3,0
16,16.EU.2C,2,1984,4,0
16,16.EU.2C,2,1985,1,0
16,16.EU.2C,2,1985,2,0
16,16.EU.2C,2,1985,3,0
16,16.EU.2C,2,1985,4,0
16,16.EU.2C,2,1986,1,0
16,16.EU.2C,2,1986,2,0
16,16.EU.2C,2,1986,3,0
16,16.EU.2C,2,1986,4,0
16,16.EU.2C,2,1987,1,0
16,16.EU.2C,2,1987,2,0
16,16.EU.2C,2,1987,3,0
16,16.EU.2C,2,1987,4,0
16,16.EU.2C,2,1988,1,0
16,16.EU.2C,2,1988,2,0
16,16.EU.2C,2,1988,3,0
16,16.EU.2C,2,1988,4,0
16,16.EU.2C,2,1989,1,0
16,16.EU.2C,2,1989,2,0
16,16.EU.2C,2,1989,3,0
16,16.EU.2C,2,1989,4,0
16,16.EU.2C,2,1990,1,0
16,16.EU.2C,2,1990,2,0
16,16.EU.2C,2,1990,3,0
